on x=-11..33,y=-6..40,z=-16..37
on x=-44..10,y=-24..30,z=-24..22
on x=-34..15,y=-21..27,z=-33..11
on x=-42..12,y=-43..9,z=1..48
on x=-31..21,y=-11..42,z=-4..49
on x=0..44,y=-13..37,z=-30..14
on x=-41..12,y=-32..17,z=-7..43
on x=-21..27,y=-16..30,z=-33..15
on x=-28..24,y=-12..42,z=-6..45
on x=-15..30,y=-32..14,z=-48..5
off x=-32..-17,y=-6..11,z=-16..-5
on x=-29..17,y=-6..48,z=-27..17
off x=-34..-20,y=-22..-6,z=-24..-11
on x=-39..5,y=-24..22,z=-49..2
off x=-48..-32,y=32..45,z=31..44
on x=-40..5,y=-9..39,z=-2..43
off x=15..34,y=3..19,z=-46..-30
on x=-10..36,y=-8..43,z=-36..8
off x=8..22,y=2..11,z=27..44
on x=-26..22,y=-17..31,z=-23..30
on x=55966..74708,y=9028..39775,z=-23782..-12392
on x=46912..62342,y=34758..55202,z=5912..31510
on x=63138..67807,y=40967..45502,z=-23583..-10004
on x=-73495..-56406,y=41511..71705,z=5127..32006
on x=-23106..-1748,y=-86112..-68506,z=-39397..-15794
on x=-52779..-45652,y=19079..39796,z=49639..57070
on x=-79175..-53055,y=34141..54701,z=4583..26379
on x=26517..36583,y=-42144..-26773,z=-80939..-45310
on x=-47044..-23501,y=-79682..-68957,z=-6125..20082
on x=-54276..-29269,y=-45877..-28470,z=-59917..-38428
on x=-23998..7268,y=55542..81737,z=42421..63898
on x=-94509..-71314,y=-22686..18,z=-22100..-3746
on x=-74781..-51149,y=-52534..-38370,z=3590..25687
on x=-50373..-45841,y=-28285..-6170,z=-78397..-51064
on x=65214..88034,y=24285..54786,z=-6183..23064
on x=-31431..-12447,y=30325..57775,z=-63903..-49927
on x=61099..80636,y=13112..36642,z=9225..37647
on x=49227..58281,y=-72690..-46916,z=6114..26803
on x=49316..61601,y=52184..69325,z=-34233..-8387
on x=-8085..8021,y=-67231..-31814,z=-70317..-60600
on x=43203..69568,y=-38081..-12285,z=-48526..-36342
on x=67521..77200,y=-30319..-21173,z=-39992..-23255
on x=-24435..-910,y=-28467..-9403,z=74299..85044
on x=-68278..-46406,y=32963..49543,z=-36781..-5810
on x=38044..59188,y=-39588..-15132,z=-78211..-59118
on x=-16359..8709,y=-83601..-70086,z=-41614..-18943
on x=-67079..-53633,y=-47134..-17665,z=-33888..-12731
on x=-10203..25856,y=-65803..-37565,z=-80018..-48632
on x=-20788..12729,y=-7421..3011,z=-96951..-78895
on x=36480..60613,y=-69685..-56878,z=-42024..-22583
on x=-81439..-53199,y=30801..58467,z=5317..21254
on x=20078..46684,y=47464..77622,z=25360..46337
on x=51573..75800,y=-51556..-33538,z=-48932..-30407
